Basin Hopping of Pt cluster on Amorphous Silica
frame,symbol,x,y,z
0,O,6.18547954,15.12127347,3.41802510
0,O,13.22269005,13.30677200,6.93206790
0,O,3.40628203,8.52437001,2.91265080
0,O,8.17541919,9.41375600,4.83710520
0,O,14.54917385,17.79328253,4.64746170
0,O,1.72271735,10.64032562,11.66905500
0,O,0.08686329,16.27360279,10.72903830
0,O,13.60330532,2.65660473,6.63513060
0,Si,7.77383692,8.32197425,3.68079240
0,Si,4.76785346,14.40475827,3.11322870
0,Si,6.49206846,14.88421798,10.83189000
0,Si,7.69168050,15.64908566,3.66644100
0,Si,6.26549647,17.91223818,10.06750710
0,Si,9.65829971,12.22269242,7.72993740
0,O,4.66237661,19.86302516,7.49553120
0,O,18.24984970,10.94434715,3.14090640
0,O,8.65166966,16.38763760,7.37456940
0,O,11.22782957,11.78709226,7.59804120
0,O,2.47560388,11.31512076,7.20884490
0,O,12.26569617,12.75456963,12.04389990
0,O,9.32218583,13.79543152,7.50270690
0,O,2.55348131,9.23960151,9.29150640
0,Si,8.26698936,2.12708096,10.00975980
0,Si,13.10309256,3.77641380,7.74018840
0,O,10.93899842,15.68203380,8.53361580
0,O,6.85150278,21.01021970,6.73832400
0,O,6.83866584,18.35382891,6.54560520
0,O,17.89726175,18.45994762,9.10562160
0,O,20.55001540,5.71243830,9.95816310
0,O,20.90538469,0.65596763,10.52606850
0,O,0.18998671,0.36414120,5.87177280
0,O,1.99550232,6.55839265,3.89127960
0,Si,19.70384710,0.89109759,9.46509000
0,Si,1.71073620,16.43064135,10.95831900
0,Si,17.19657877,16.14181020,12.28719030
0,O,12.64074877,14.93278440,10.53734460
0,O,9.04191264,12.17583759,11.86519080
0,O,16.92293800,6.85193067,5.41286970
0,O,1.04877800,4.65852553,8.53737450
0,O,11.40219801,15.01986165,3.31961550
0,Si,17.46337318,11.19637907,4.58493060
0,Si,8.89856681,18.01985452,2.26478760
0,Si,11.20857416,8.53014663,5.58987030
0,Si,9.77040898,7.22548563,11.99913720
0,Si,14.08640216,14.43364139,6.09866160
0,Si,9.89364361,15.30698121,7.32160590
